City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Maunabo,PR,18.0072,-65.8993,87.04,90,95,9.04,overcast clouds
207,Rincon,US,32.296,-81.2354,89.22,63,40,3.44,scattered clouds
208,Lebu,CL,-37.6167,-73.65,50.76,91,96,6.4,overcast clouds
209,Constitucion,CL,-35.3333,-72.4167,53.35,89,52,12.35,broken clouds
210,Wanning,CN,18.8003,110.3967,80.15,89,83,10.74,broken clouds
211,Mar Del Plata,AR,-38.0023,-57.5575,57.22,59,90,8.99,overcast clouds
212,El Colomo,MX,19.05,-104.25,91.38,69,46,4.43,scattered clouds
213,Ilulissat,GL,69.2167,-51.1,55.42,41,40,10.36,scattered clouds
214,Bethel,US,41.3712,-73.414,77.68,86,90,6.91,overcast clouds
215,Sardulgarh,IN,29.7,75.25,96.15,45,88,6.06,overcast clouds
216,Kavaratti,IN,10.5669,72.642,80.91,78,100,23.6,overcast clouds
217,Jiexiu,CN,37.0244,111.9125,75.34,64,32,4.83,scattered clouds
218,Zhigansk,RU,66.7697,123.3711,60.66,57,60,8.48,broken clouds
219,Kununurra,AU,-15.7667,128.7333,60.78,82,26,0.0,scattered clouds
220,Licheng,CN,23.2955,113.8284,84.13,80,38,2.17,scattered clouds
221,Kyzyl-Suu,KG,42.3414,78.0056,69.53,25,0,6.8,clear sky
222,Lakes Entrance,AU,-37.8811,147.981,53.19,63,51,14.81,broken clouds
223,Ust-Nera,RU,64.5667,143.2,50.52,98,100,8.39,moderate rain
224,Talnakh,RU,69.4865,88.3972,55.81,93,100,5.91,overcast clouds
225,Yokadouma,CM,3.5167,15.05,74.08,91,94,2.08,overcast clouds
226,Kaeo,NZ,-35.1,173.7833,60.33,97,98,5.73,overcast clouds
227,Bagdarin,RU,54.4333,113.6,56.89,81,100,3.96,overcast clouds
228,Lata,PT,40.1629,-8.3327,76.05,74,88,9.13,overcast clouds
229,Zhicheng,CN,30.2956,111.5047,77.49,82,0,2.71,light rain
230,Saint-Francois,FR,46.4154,3.9054,77.18,66,0,5.75,clear sky
231,Sao Filipe,CV,14.8961,-24.4956,74.35,73,58,7.4,broken clouds
232,Farah,AF,32.5,62.5,94.1,11,0,1.88,clear sky
233,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,100,90,19.57,light rain
234,Bubaque,GW,11.2833,-15.8333,79.03,79,99,5.91,overcast clouds
235,Aragarcas,BR,-15.8975,-52.2508,90.25,37,0,9.22,clear sky
236,Orda,RU,57.1951,56.9091,57.02,58,68,6.06,broken clouds
237,Royan,FR,45.6285,-1.0281,72.46,71,78,12.17,broken clouds
238,Seoul,KR,37.5683,126.9778,81.97,65,0,3.44,clear sky
239,Camacha,PT,33.0833,-16.3333,74.16,83,40,12.66,scattered clouds
240,Hermanus,ZA,-34.4187,19.2345,53.8,56,100,6.26,overcast clouds
241,Fort Nelson,CA,58.8053,-122.7002,67.59,45,40,11.5,scattered clouds
242,Alofi,NU,-19.0595,-169.9187,66.09,100,16,1.14,few clouds
243,Kapit,MY,2.0167,112.9333,74.82,99,100,0.87,overcast clouds
244,Caruray,PH,10.3094,119.0128,81.23,80,100,10.42,overcast clouds
245,Nanortalik,GL,60.1432,-45.2371,45.27,74,100,13.38,overcast clouds
246,Ayna,PE,-12.65,-73.9167,79.3,37,1,6.04,clear sky
247,Kyra,RU,49.5776,111.9753,52.16,87,26,5.19,scattered clouds
248,Leshukonskoye,RU,64.8989,45.7622,49.71,73,88,6.33,overcast clouds
249,Pisco,PE,-13.7,-76.2167,66.02,72,75,6.91,broken clouds
250,Novyy Urengoy,RU,66.0833,76.6333,59.09,82,100,7.25,overcast clouds
251,Luanda,AO,-8.8368,13.2343,72.14,79,3,12.84,clear sky
252,Ixtapa,MX,20.7,-105.2,88.83,62,1,3.44,clear sky
253,Qaanaaq,GL,77.484,-69.3632,39.7,71,87,5.55,overcast clouds
254,Pingliang,CN,35.5392,106.6861,72.59,67,100,3.58,overcast clouds
255,Zhigalovo,RU,54.8097,105.1578,62.94,64,100,2.84,overcast clouds
256,Mareeba,AU,-17.0,145.4333,63.32,77,49,2.39,scattered clouds
257,Havre-Saint-Pierre,CA,50.2334,-63.5986,73.76,60,1,8.05,clear sky
258,Salym,RU,60.0625,71.4789,55.85,94,100,8.39,overcast clouds
259,Isangel,VU,-19.55,169.2667,75.16,87,75,10.07,broken clouds
260,Port Lincoln,AU,-34.7333,135.8667,55.15,86,29,16.91,scattered clouds
261,Tual,ID,-5.6667,132.75,79.72,79,100,19.04,overcast clouds
262,Ouesso,CG,1.6136,16.0517,78.58,68,89,4.63,overcast clouds
263,Nikolskoye,RU,59.7035,30.7861,71.49,54,59,3.49,broken clouds
264,San Patricio,US,28.017,-97.5169,91.87,47,5,9.22,clear sky
265,Tomatlan,MX,19.9333,-105.25,88.79,62,40,3.27,scattered clouds
266,Meulaboh,ID,4.1363,96.1285,78.66,85,98,2.1,overcast clouds
267,Coquimbo,CL,-29.9533,-71.3436,60.53,63,0,13.8,clear sky
268,Goure,NE,13.9835,10.2704,89.02,40,77,10.33,broken clouds
269,Kholodnyy,RU,62.7167,147.95,54.54,98,100,3.47,moderate rain
270,Namatanai,PG,-3.6667,152.4333,78.64,84,52,3.18,broken clouds
271,Humberto De Campos,BR,-2.5983,-43.4611,90.9,42,55,3.44,broken clouds
272,Strezhevoy,RU,60.7333,77.5889,58.98,98,99,1.34,moderate rain
273,Noumea,NC,-22.2763,166.4572,70.0,99,80,6.8,broken clouds
274,Krasnoselkup,RU,65.7,82.4667,57.49,88,72,6.96,broken clouds
275,Belyy Yar,RU,53.6039,91.3903,71.49,83,0,4.47,clear sky
276,Salalah,OM,17.0151,54.0924,78.89,94,75,6.91,broken clouds
277,Kerema,PG,-7.9631,145.7785,76.82,91,91,9.15,overcast clouds
278,Kroya,ID,-7.6331,109.2461,73.38,85,1,5.17,clear sky
279,Narsaq,GL,60.9167,-46.05,57.42,46,100,5.1,overcast clouds
280,Lorengau,PG,-2.0226,147.2712,78.66,84,18,9.73,few clouds
281,Guangyuan,CN,32.442,105.823,74.3,91,43,2.01,scattered clouds
282,Brae,GB,60.3964,-1.353,60.71,72,71,4.34,broken clouds
283,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,92.21,18,0,9.1,clear sky
284,Charters Towers,AU,-20.1,146.2667,54.64,40,3,7.36,clear sky
285,Raudeberg,NO,61.9875,5.1352,74.98,87,21,9.33,few clouds
286,Hibbing,US,47.4272,-92.9377,83.86,29,1,20.71,clear sky
287,Neya,RU,58.2972,43.8681,59.83,65,82,4.85,broken clouds
288,Dawei,MM,14.0833,98.2,77.02,91,100,9.46,light rain
289,Marzuq,YE,14.4,46.4667,74.21,75,26,9.6,scattered clouds
290,Guarumal,PA,8.35,-82.5333,78.89,83,75,4.61,broken clouds
291,Neuquen,AR,-38.9516,-68.0591,51.69,43,0,8.05,clear sky
292,Puri,IN,19.8,85.85,86.38,76,79,16.37,broken clouds
293,Broome,US,42.2506,-75.833,84.61,73,40,1.01,scattered clouds
294,Guerrero Negro,MX,27.9769,-114.0611,74.25,65,60,10.07,broken clouds
295,Digapahandi,IN,19.3667,84.5833,85.15,70,93,4.14,overcast clouds
296,Karatuzskoye,RU,53.6072,92.8667,65.21,95,98,1.7,light rain
297,Trinidad,BO,-14.8333,-64.9,93.43,28,2,8.9,clear sky
298,Lompoc,US,34.6391,-120.4579,76.14,85,90,0.0,overcast clouds
299,Makat,KZ,47.6469,53.3463,87.26,23,2,13.42,clear sky
300,Boueni,YT,-12.9025,45.0761,76.98,65,38,10.27,scattered clouds
301,Ramgarh,IN,23.6333,85.5167,82.45,85,95,7.2,overcast clouds
302,Luau,AO,-10.7073,22.2247,71.11,27,1,5.46,clear sky
303,Balaipungut,ID,1.05,101.2833,82.81,86,35,2.37,scattered clouds
304,Palmer,US,42.1584,-72.3287,72.09,82,90,5.01,overcast clouds
305,Coos Bay,US,43.3665,-124.2179,81.86,85,40,8.05,mist
306,Deputatskiy,RU,69.3,139.9,41.83,85,10,3.53,clear sky
307,Englewood,US,39.6478,-104.9878,89.4,36,75,1.99,broken clouds
308,Shimoda,JP,34.6667,138.95,77.11,87,3,7.87,clear sky
309,Portland,US,45.5234,-122.6762,78.08,63,1,1.01,clear sky
310,Nome,US,64.5011,-165.4064,48.27,87,90,9.22,overcast clouds
311,Cuenca,EC,-2.8833,-78.9833,60.93,59,90,4.61,light rain
312,Dalmeny,CA,52.3334,-106.7679,77.68,36,75,10.36,broken clouds
313,Celestun,MX,20.8667,-90.4,85.42,67,100,8.46,overcast clouds
314,Luderitz,NA,-26.6481,15.1594,67.23,26,70,5.01,broken clouds
315,Outlook,CA,51.5001,-107.0513,80.29,31,64,7.29,broken clouds
316,Ahipara,NZ,-35.1667,173.1667,57.24,93,82,8.88,broken clouds
317,Hirara,JP,24.8,125.2833,83.55,90,100,14.27,overcast clouds
318,Natal,BR,-5.795,-35.2094,86.22,54,40,19.57,scattered clouds
319,Umm Kaddadah,SD,13.6017,26.6876,92.14,36,63,11.9,broken clouds
320,Provideniya,RU,64.3833,-173.3,46.76,99,100,7.23,moderate rain
321,Sosnovoborsk,RU,56.1325,93.3589,65.75,80,0,2.48,clear sky
322,Mecca,SA,21.4267,39.8261,91.47,29,2,9.95,clear sky
323,Pemangkat,ID,1.1667,108.9667,80.71,83,3,7.81,clear sky
324,Nassau,US,40.7507,-73.5829,83.75,79,90,5.99,overcast clouds
325,Svetlaya,RU,46.5389,138.3297,69.08,86,99,6.35,light rain
326,Comarapa,BO,-17.9,-64.4833,70.2,44,0,7.83,clear sky
327,Port Moresby,PG,-9.4431,147.1797,71.02,100,75,6.91,broken clouds
328,Porto Novo,BJ,6.4965,2.6036,80.42,68,55,10.94,broken clouds
329,Ust-Uda,RU,54.1742,103.0304,66.79,55,91,2.35,overcast clouds
330,Torbay,CA,47.6666,-52.7314,60.76,91,90,9.22,overcast clouds
331,Udimskiy,RU,61.1417,45.9144,56.82,66,87,6.2,overcast clouds
332,Saint-Georges,GD,12.0564,-61.7485,85.68,74,20,11.5,few clouds
333,Erzin,TR,36.9559,36.2,86.52,81,0,5.59,clear sky
334,Amga,RU,60.8953,131.9608,56.57,95,41,2.84,scattered clouds
335,Ostrovnoy,RU,68.0531,39.5131,46.49,84,94,17.72,overcast clouds
336,Yatou,CN,37.15,122.3833,75.9,89,79,3.27,broken clouds
337,Klaksvik,FO,62.2266,-6.589,52.72,96,100,12.46,overcast clouds
338,Korla,CN,41.7597,86.1469,90.18,15,0,12.91,clear sky
339,Guarapari,BR,-20.6667,-40.4975,76.91,55,17,14.85,few clouds
340,Bassano,CA,50.7834,-112.4685,76.39,32,3,12.46,clear sky
341,Blackwater,AU,-23.5833,148.8833,51.76,44,30,6.8,scattered clouds
342,Ilhabela,BR,-23.7781,-45.3581,75.31,48,0,4.99,clear sky
343,Valkeala,FI,60.9401,26.7979,77.4,38,0,10.36,clear sky
344,Springville,US,40.1652,-111.6107,91.96,32,1,4.61,clear sky
345,Vokhma,RU,58.9303,46.7586,57.2,68,87,3.67,overcast clouds
346,Kodinsk,RU,58.6881,99.1844,67.98,59,73,2.84,broken clouds
